model_id,model,n,correct,accuracy_pct,ci_low_pct,ci_high_pct,ci_width_pct_points,bootstrap_degenerate,n_invalid_extraction,bootstrap_unit,bootstrap_method,confidence_level,bootstrap_reps,base_seed,n_nonnull_error
gpt-5.5,GPT-5.5,2323,1094,47.09427464485579,45.07102884201464,49.11752044769695,4.046491605682307,False,168,QA item,percentile,0.95,20000,20260724,0
kimi-k2.6,Kimi-K2.6,2323,1045,44.98493327593629,43.00473525613431,47.051226861816616,4.046491605682307,False,178,QA item,percentile,0.95,20000,20260724,0
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,2323,1020,43.90873869995695,41.928540680154974,45.93198450279811,4.003443822643132,False,151,QA item,percentile,0.95,20000,20260724,5
grok-4.3,Grok-4.3,2323,1018,43.8226431338786,41.756349547998276,45.88893671975893,4.132587171760655,False,137,QA item,percentile,0.95,20000,20260724,0
seed-2.0-lite,Seed-2.0-Lite,2323,975,41.971588463194145,39.94834266035299,43.95178648299613,4.003443822643132,False,101,QA item,percentile,0.95,20000,20260724,0
glm-5v-turbo,GLM-5V-Turbo,2323,880,37.88204907447266,35.901851054670686,39.86224709427464,3.9603960396039586,False,198,QA item,percentile,0.95,20000,20260724,0
qwen2.5-vl-72b,Qwen2.5-VL-72B,2323,790,34.00774860094705,32.11364614722342,35.94489883770986,3.831252690486442,False,229,QA item,percentile,0.95,20000,20260724,10
gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview,2323,785,33.792509685751185,31.85535944898838,35.72965992251399,3.8743004735256106,False,169,QA item,percentile,0.95,20000,20260724,4
gpt-5.4-mini,GPT-5.4-mini,2323,769,33.10374515712441,31.1665949203616,35.04089539388722,3.874300473525616,False,83,QA item,percentile,0.95,20000,20260724,0
qwen3-vl-8b-thinking,Qwen3-VL-8B-Thinking,2323,745,32.07059836418424,30.17649591046061,33.964700817907875,3.788204907447268,False,206,QA item,percentile,0.95,20000,20260724,0
mimo-v2-omni,Mimo-V2-Omni,2323,735,31.64012053379251,29.78906586310805,33.577270770555316,3.788204907447268,False,471,QA item,percentile,0.95,20000,20260724,75
internvl3-8b,InternVL3-8B,2323,700,30.133448127421435,28.282393456736976,32.02755058114507,3.745157124408094,False,163,QA item,percentile,0.95,20000,20260724,0
videochat-r1.5-7b,VideoChat-R1.5-7B,2323,684,29.44468359879466,27.55058114507103,31.338786052518298,3.788204907447268,False,215,QA item,percentile,0.95,20000,20260724,0
llava-video-72b,LLaVA-Video-72B,2323,672,28.928110202324582,27.07705553164012,30.77916487300904,3.70210934136892,False,181,QA item,percentile,0.95,20000,20260724,0
videollama3-7b,VideoLLaMA3-7B,2323,660,28.4115368058545,26.60352991820921,30.219543693499784,3.616013775290572,False,10,QA item,percentile,0.95,20000,20260724,0
llava-video-7b,LLaVA-Video-7B,2323,649,27.93801119242359,26.130004304778303,29.746018080068875,3.616013775290572,False,141,QA item,percentile,0.95,20000,20260724,0
video-llava-7b,Video-LLaVA-7B,2323,641,27.593628928110203,25.78562204046492,29.44468359879466,3.659061558329746,False,325,QA item,percentile,0.95,20000,20260724,0
minicpm-v-2.6,MiniCPM-V-2.6,2323,629,27.07705553164012,25.269048643994836,28.885062419285408,3.616013775290572,False,146,QA item,percentile,0.95,20000,20260724,0
qwen2.5-vl-7b,Qwen2.5-VL-7B,2323,628,27.034007748600946,25.22600086095566,28.842014636246233,3.616013775290572,False,291,QA item,percentile,0.95,20000,20260724,0
llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,2323,591,25.44123977615153,23.676280671545417,27.249246663796818,3.5729659922514005,False,80,QA item,percentile,0.95,20000,20260724,0
qwen3-vl-8b,Qwen3-VL-8B,2323,585,25.182953077916487,23.417993973310374,26.99095996556177,3.572965992251398,False,125,QA item,percentile,0.95,20000,20260724,0
video-r1-7b,Video-R1-7B,2323,583,25.096857511838138,23.33189840723203,26.862892811020135,3.5309944037881067,False,300,QA item,percentile,0.95,20000,20260724,0
video-chatgpt-7b,Video-ChatGPT-7B,2323,488,21.007318123116658,19.371502367628068,22.686181661644426,3.3146792940163565,False,804,QA item,percentile,0.95,20000,20260724,0
